"BUILDINGID","PredBuildingID","FLOOR","PredFloor","LONGITUDE","PredLongitude","LATITUDE","PredLatitude","DistanceError"
"0","0","2","2",-7641.49930336811,-7646.34846057743,4864922.39917781,4864921.5071206,4.93052651484883
"0","0","1","0",-7586.94481643335,-7592.24738000035,4864985.8591874,4864983.87784,5.66064642106518
"0","0","2","2",-7674.78528285577,-7677.25159999952,4864934.17609074,4864933.51642,2.55301502894334
"0","0","2","2",-7656.47556055148,-7653.09658000022,4864938.29791957,4864935.93448,4.12351260064558
"0","0","1","1",-7642.76498553336,-7640.95133999959,4865005.02531462,4865010.51486,5.78138552586485
"0","0","0","0",-7680.01548397771,-7679.43309999853,4864931.06532918,4864932.0008,1.10194226483652
"0","0","1","1",-7644.88606818517,-7644.65200000108,4864948.47653335,4864948.69716,0.321658256014401
"0","0","0","0",-7639.40049465441,-7639.95524000004,4864912.97794822,4864911.98194,1.1400766530872
"0","0","0","0",-7632.77760000154,-7633.72949999943,4864964.7989,4864965.3173,1.08390597673785
"0","0","0","0",-7607.07660000026,-7591.23764000013,4864977.6918,4864984.16718,17.1114932143995
"0","0","0","0",-7592.95318465368,-7589.74785999953,4864984.23600766,4864984.9381,3.2813167774511
"0","0","0","0",-7588.9413926973,-7588.96381999999,4864985.59057594,4864985.16286,0.428303524130177
"0","0","0","0",-7611.19622966315,-7605.10358000025,4864981.68552096,4864980.37442,6.23212368631615
"0","0","0","0",-7615.52771818275,-7602.21613999978,4864981.65892278,4864982.41526,13.3330476527867
"0","0","1","1",-7592.0902420462,-7588.27835999877,4864978.87642687,4864985.75386,7.86317564317825
"0","0","1","1",-7616.35992587794,-7609.6683799997,4864979.09533041,4864979.74326,6.72284158629729
"0","0","1","1",-7691.10920000076,-7689.47689999938,4864927.5252,4864928.74654,2.03864530795606
"0","0","0","0",-7685.49460000172,-7685.72349999845,4864929.1348,4864929.8903,0.789414630253431
"0","0","0","0",-7684.28183436243,-7681.3191399999,4864931.86802129,4864932.07546,2.96994759284741
