"WAP001","WAP008","WAP009","WAP010","WAP011","WAP012","WAP013","WAP014","WAP015","WAP016","WAP017","WAP018","WAP019","WAP020","WAP021","WAP022","WAP023","WAP024","WAP025","WAP026","WAP027","WAP028","WAP029","WAP030","WAP031","WAP032","WAP033","WAP034","WAP035","WAP036","WAP037","WAP038","WAP039","WAP040","WAP041","WAP042","WAP043","WAP044","WAP045","WAP046","WAP047","WAP048","WAP049","WAP050","WAP051","WAP052","WAP053","WAP054","WAP055","WAP056","WAP057","WAP058","WAP059","WAP060","WAP061","WAP062","WAP063","WAP064","WAP065","WAP066","WAP067","WAP068","WAP071","WAP072","WAP073","WAP075","WAP076","WAP077","WAP078","WAP080","WAP081","WAP082","WAP083","WAP084","WAP085","WAP086","WAP087","WAP088","WAP089","WAP090","WAP091","WAP096","WAP097","WAP098","WAP099","WAP100","WAP101","WAP102","WAP103","WAP104","WAP105","WAP106","WAP107","WAP108","WAP109","WAP110","WAP111","WAP112","WAP113","WAP114","WAP115","WAP116","WAP117","WAP118","WAP119","WAP120","WAP121","WAP122","WAP123","WAP124","WAP125","WAP126","WAP127","WAP128","WAP129","WAP130","WAP131","WAP132","WAP134","WAP135","WAP136","WAP137","WAP138","WAP139","WAP140","WAP141","WAP142","WAP143","WAP144","WAP145","WAP146","WAP147","WAP148","WAP149","WAP150","WAP151","WAP154","WAP155","WAP156","WAP161","WAP162","WAP164","WAP165","WAP166","WAP167","WAP168","WAP169","WAP170","WAP171","WAP172","WAP173","WAP174","WAP175","WAP176","WAP177","WAP178","WAP179","WAP180","WAP181","WAP182","WAP183","WAP184","WAP185","WAP186","WAP187","WAP188","WAP189","WAP190","WAP191","WAP192","WAP195","WAP196","WAP201","WAP202","WAP203","WAP204","WAP207","WAP216","WAP222","WAP223","WAP224","WAP225","WAP229","WAP232","WAP233","WAP234","WAP236","WAP237","WAP249","WAP253","WAP255","WAP256","WAP257","WAP258","WAP259","WAP260","WAP261","WAP262","WAP263","WAP264","WAP265","WAP266","WAP267","WAP268","WAP269","WAP270","WAP271","WAP272","WAP273","WAP274","WAP275","WAP276","WAP277","WAP278","WAP279","WAP280","WAP281","WAP282","WAP283","WAP284","WAP285","WAP286","WAP287","WAP288","WAP289","WAP290","WAP292","WAP294","WAP295","WAP297","WAP299","WAP300","WAP305","WAP308","WAP309","WAP310","WAP311","WAP312","WAP313","WAP314","WAP315","WAP316","WAP317","WAP318","WAP319","WAP320","WAP321","WAP322","WAP323","WAP324","WAP325","WAP326","WAP327","WAP328","WAP329","WAP330","WAP331","WAP332","WAP334","WAP335","WAP336","WAP337","WAP338","WAP340","WAP341","WAP342","WAP343","WAP344","WAP345","WAP346","WAP348","WAP350","WAP351","WAP352","WAP354","WAP355","WAP356","WAP358","WAP359","WAP362","WAP364","WAP418","WAP422","WAP426","WAP434","WAP443","WAP449","WAP452","WAP456","WAP478","WAP481","WAP483","WAP484","WAP486","WAP489","WAP492","WAP493","WAP494","WAP495","WAP496","WAP498","WAP499","WAP500","WAP501","WAP502","WAP508","LONGITUDE","LATITUDE","FLOOR","BUILDINGID"
0,0,0,0,0,0,0,0,0,0,0,0,0.490196078431373,0.490196078431373,0,0,0,0,0.490196078431373,0.509803921568627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215686274509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.96078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196078431372549,0.215686274509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215686274509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274509803921569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7637.25699999928,4864949.8143,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382352941176471,0,0,0.5,0,0,0,0,0.323529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529411764705882,0.5,0,0,0,0,0.764705882352941,0.558823529411765,0,0,0,0,0,0,0,0,0,0,0.941176470588235,0.941176470588235,0,0.676470588235294,0.705882352941177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7628.13450000063,4864977.0212,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0.541666666666667,0,0,0,0,0.5,0.416666666666667,0.270833333333333,0.291666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0.583333333333333,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.854166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.708333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7622.05460000038,4864976.2942,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282608695652174,0.282608695652174,0,0,0,0,0,0,0,0,0,0,1,0.956521739130435,0,0.260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434782608695652,0.478260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7636.20569999889,4864967.3302,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.354166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395833333333333,0.375,0,0,0,0,0,0,0,0,0,0,0.979166666666667,1,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.354166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7633.72949999943,4864965.3173,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543859649122807,0.526315789473684,0,0.157894736842105,0,0,0.140350877192982,0,0.280701754385965,0.298245614035088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280701754385965,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43859649122807,0.43859649122807,0,0,0,0,0,0,0,0,0,0.228070175438596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7605.41930000111,4864979.0708,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537037037037037,0.518518518518518,0,0.185185185185185,0,0,0.407407407407407,0.407407407407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203703703703704,0,0,0,0,0.981481481481482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611111111111111,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518518518518518,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7607.24760000035,4864978.5467,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545,0.522727272727273,0,0,0,0,0.659090909090909,0.659090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545,0.568181818181818,0,0,0,0,0.977272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863636363636364,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863636363636364,0.863636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7616.55600000173,4864975.8786,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58974358974359,0.58974358974359,0,0,0,0,0.333333333333333,0.41025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512820512820513,0.487179487179487,0,0,0,0,0.974358974358974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923076923,0.948717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846153846153846,0.846153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769230769231,0,0,0,0.641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7618.58689999953,4864975.2962,0,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.4,0.225,0.325,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7592.73330000043,4864982.7069,0,"0"
